,material,Cell type,test,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,viability (%)
1881,15,50,1,0.9999999999999999,0.000125,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.3675872650556195
1882,15,50,1,0.9999999999999999,0.00025,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.25333930017474326
1883,15,50,1,0.9999999999999999,0.00125,0.056240966102485204,0.5095121951219512,0.6,0.7870129870129874,0.26393154892496706,0.4782608695652175,0.34871073605250824
1884,8,50,1,0.9999999999999999,0.0025,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.3586455269999574
1885,8,50,1,0.9999999999999999,0.0125,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.3506968418360824
1886,8,50,1,0.23404255319148934,0.000125,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.42362016792396545
1887,8,50,1,0.23404255319148934,0.00025,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.3461279461279462
1888,8,50,1,0.23404255319148934,0.00125,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.4016621915356093
1889,8,50,1,0.23404255319148934,0.0025,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.3848740570259558
1890,8,50,1,0.23404255319148934,0.0125,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.09815454119251589
1891,8,50,1,0.23404255319148934,0.025,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.005166006052082002
1892,8,50,1,0.9999999999999999,0.000125,0.056240966102485204,0.5095121951219512,0.3103448275862069,0.7500000000000002,0.7027204914436156,0.5652173913043479,0.511443549418233
1893,6,50,1,0.9999999999999999,0.00025,0.056240966102485204,0.5095121951219512,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.5101649405446874
1894,6,50,1,0.9999999999999999,0.00125,0.056240966102485204,0.5095121951219512,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.46622341559050423
1895,6,50,1,0.9999999999999999,0.0025,0.056240966102485204,0.5095121951219512,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.5062864936282658
1896,6,50,1,0.9999999999999999,0.0125,0.056240966102485204,0.5095121951219512,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.02841367259088778
1897,6,50,1,0.9999999999999999,0.025,0.056240966102485204,0.5095121951219512,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.005166006052082002
1898,6,50,1,0.23404255319148934,0.000125,0.030344570336177552,0.5426016260162602,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.4645186037591101
1899,6,50,1,0.23404255319148934,0.00025,0.030344570336177552,0.5426016260162602,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.5769083237437669
1900,6,50,1,0.23404255319148934,0.00125,0.030344570336177552,0.5426016260162602,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.5608404722328774
1901,6,50,1,0.23404255319148934,0.0025,0.030344570336177552,0.5426016260162602,0.3068181818181819,0.6282467532467535,0.4616498464238701,0.5652173913043479,0.6559689724246687
1902,2,50,1,0.23404255319148934,0.0125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.6189319353876316
1903,2,50,1,0.23404255319148934,0.025,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.5966841409879385
1904,2,50,1,0.23404255319148934,0.125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.5867962323658527
1905,2,50,1,0.23404255319148934,0.25,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.5485232067510548
1906,2,50,1,0.9999999999999999,0.000125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.3335506968418361
1907,2,50,1,0.9999999999999999,0.00025,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.33478668541959683
1908,2,50,1,0.9999999999999999,0.00125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.3767889869155692
1909,2,50,1,0.9999999999999999,0.0025,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.3928483143673018
1910,2,50,1,0.9999999999999999,0.0125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.42249499211524527
1911,2,50,1,0.9999999999999999,0.025,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.42126326556706306
1912,2,50,1,0.9999999999999999,0.125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.40149597238204837
1913,2,50,1,0.9999999999999999,0.25,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.36443336316754044
1914,2,50,1,0.23404255319148934,0.000125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.5136171845032605
1915,2,50,1,0.23404255319148934,0.00025,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.5014704002045774
1916,2,50,1,0.23404255319148934,0.00125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.5184758982227338
1917,2,50,1,0.23404255319148934,0.0025,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.44806716958615694
1918,2,50,1,0.23404255319148934,0.0125,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.4954183182031283
1919,2,50,1,0.9999999999999999,0.025,0.030344570336177552,0.5426016260162602,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.4954183182031283
1920,13,50,1,0.9999999999999999,0.125,0.030344570336177552,0.5426016260162602,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.5160465413629971
1921,13,50,1,0.9999999999999999,0.25,0.030344570336177552,0.5426016260162602,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.5403401099603632
1922,13,50,1,0.9999999999999999,0.000125,0.030344570336177552,0.5426016260162602,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.33513190981545415
1923,13,50,1,0.9999999999999999,0.00025,0.030344570336177552,0.5426016260162602,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.3654903465030047
1924,13,50,1,0.9999999999999999,0.00125,0.030344570336177552,0.5426016260162602,0.3139534883720931,0.4626623376623378,0.10838086880210618,0.6956521739130435,0.45535524016536677
