,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,x,rox,radii
2508,Macrophages,WST-1,C,24,100.0,40.1,29.57,-33.33,0.0,2.55,0.0,0.7
2509,Macrophages,WST-1,C,24,150.0,38.769,29.57,-33.33,0.0,2.55,0.0,0.7
2510,Macrophages,WST-1,C,24,200.0,36.439,29.57,-33.33,0.0,2.55,0.0,0.7
2511,Macrophages,WST-1,C,24,250.0,32.113,29.57,-33.33,0.0,2.55,0.0,0.7
2512,Macrophages,WST-1,C,48,20.0,31.448,29.57,-33.33,0.0,2.55,0.0,0.7
2513,Macrophages,WST-1,C,48,40.0,10.649,29.57,-33.33,0.0,2.55,0.0,0.7
2514,Macrophages,WST-1,C,48,60.0,1.9967,29.57,-33.33,0.0,2.55,0.0,0.7
2515,Macrophages,WST-1,C,48,80.0,1.6639,29.57,-33.33,0.0,2.55,0.0,0.7
2516,Macrophages,WST-1,C,48,100.0,0.99834,29.57,-33.33,0.0,2.55,0.0,0.7
2517,Macrophages,WST-1,C,48,150.0,0.66556,29.57,-33.33,0.0,2.55,0.0,0.7
2518,Macrophages,WST-1,C,48,200.0,0.0,29.57,-33.33,0.0,2.55,0.0,0.7
2519,V79,MTS,C,48,250.0,0.0,29.57,-33.33,0.0,2.55,0.0,0.7
2520,V79,MTS,C,72,20.0,15.308,29.57,-33.33,0.0,2.55,0.0,0.7
2521,V79,MTS,C,72,40.0,7.9867,29.57,-33.33,0.0,2.55,0.0,0.7
2522,V79,MTS,C,72,60.0,1.9967,29.57,-33.33,0.0,2.55,0.0,0.7
2523,V79,MTS,C,72,80.0,0.99834,29.57,-33.33,0.0,2.55,0.0,0.7
2524,V79,MTS,C,72,100.0,0.99834,29.57,-33.33,0.0,2.55,0.0,0.7
2525,V79,MTS,C,72,150.0,0.0,29.57,-33.33,0.0,2.55,0.0,0.7
2526,V79,MTS,C,72,200.0,0.0,29.57,-33.33,0.0,2.55,0.0,0.7
2527,V79,MTS,C,72,250.0,0.0,29.57,-33.33,0.0,2.55,0.0,0.7
2528,V79,MTS,C,24,25.0,112.01,29.57,-33.33,0.0,2.55,0.0,0.7
2529,V79,MTS,C,24,50.0,68.1,29.57,-33.33,0.0,2.55,0.0,0.7
2530,V79,MTS,C,24,100.0,41.756,29.57,-33.33,0.0,2.55,0.0,0.7
2531,V79,MTS,C,24,200.0,38.53,29.57,-33.33,0.0,2.55,0.0,0.7
2532,V79,MTS,C,24,400.0,34.229,29.57,-33.33,0.0,2.55,0.0,0.7
2533,V79,MTS,C,24,600.0,34.946,29.57,-33.33,0.0,2.55,0.0,0.7
2534,V79,MTS,C,24,800.0,35.305,29.57,-33.33,0.0,2.55,0.0,0.7
2535,V79,MTS,C,24,1000.0,34.946,29.57,-33.33,0.0,2.55,0.0,0.7
2536,V79,MTS,C,48,25.0,104.48,29.57,-33.33,0.0,2.55,0.0,0.7
2537,V79,MTS,C,48,50.0,65.412,29.57,-33.33,0.0,2.55,0.0,0.7
2538,V79,MTS,C,48,100.0,39.247,29.57,-33.33,0.0,2.55,0.0,0.7
2539,V79,MTS,C,48,200.0,28.315,29.57,-33.33,0.0,2.55,0.0,0.7
2540,V79,MTS,C,48,400.0,24.014,29.57,-33.33,0.0,2.55,0.0,0.7
2541,V79,MTS,C,48,600.0,24.014,29.57,-33.33,0.0,2.55,0.0,0.7
2542,V79,MTS,C,48,800.0,21.505,29.57,-33.33,0.0,2.55,0.0,0.7
2543,A549,MTS,C,48,1000.0,22.939,29.57,-33.33,0.0,2.55,0.0,0.7
2544,A549,MTS,C,72,25.0,92.115,29.57,-33.33,0.0,2.55,0.0,0.7
2545,A549,MTS,C,72,50.0,46.595,29.57,-33.33,0.0,2.55,0.0,0.7
2546,A549,MTS,C,72,100.0,25.448,29.57,-33.33,0.0,2.55,0.0,0.7
2547,A549,MTS,C,72,200.0,20.43,29.57,-33.33,0.0,2.55,0.0,0.7
2548,A549,MTS,C,72,400.0,18.996,29.57,-33.33,0.0,2.55,0.0,0.7
2549,A549,MTS,C,72,600.0,20.43,29.57,-33.33,0.0,2.55,0.0,0.7
2550,A549,MTS,C,72,800.0,21.505,29.57,-33.33,0.0,2.55,0.0,0.7
2551,A549,MTS,C,72,1000.0,22.939,29.57,-33.33,0.0,2.55,0.0,0.7
2552,A549,MTS,C,24,20.0,86.111,29.57,-33.33,0.0,2.55,0.0,0.7
2553,A549,MTS,C,24,40.0,71.759,29.57,-33.33,0.0,2.55,0.0,0.7
2554,A549,MTS,C,24,60.0,67.284,29.57,-33.33,0.0,2.55,0.0,0.7
2555,A549,MTS,C,24,80.0,66.358,29.57,-33.33,0.0,2.55,0.0,0.7
2556,A549,MTS,C,24,100.0,61.265,29.57,-33.33,0.0,2.55,0.0,0.7
2557,A549,MTS,C,24,150.0,53.395,29.57,-33.33,0.0,2.55,0.0,0.7
2558,A549,MTS,C,24,200.0,49.846,29.57,-33.33,0.0,2.55,0.0,0.7
2559,A549,MTS,C,24,250.0,43.519,29.57,-33.33,0.0,2.55,0.0,0.7
2560,A549,MTS,C,48,20.0,48.92,29.57,-33.33,0.0,2.55,0.0,0.7
2561,A549,MTS,C,48,40.0,45.833,29.57,-33.33,0.0,2.55,0.0,0.7
2562,A549,MTS,C,48,60.0,33.642,29.57,-33.33,0.0,2.55,0.0,0.7
2563,A549,MTS,C,48,80.0,30.864,29.57,-33.33,0.0,2.55,0.0,0.7
2564,A549,MTS,C,48,100.0,29.167,29.57,-33.33,0.0,2.55,0.0,0.7
2565,A549,MTS,C,48,150.0,26.389,29.57,-33.33,0.0,2.55,0.0,0.7
2566,A549,MTS,C,48,200.0,27.623,29.57,-33.33,0.0,2.55,0.0,0.7
2567,HUVEC,CCK-8,C,48,250.0,22.222,29.57,-33.33,0.0,2.55,0.0,0.7
2568,HUVEC,CCK-8,C,72,20.0,45.062,29.57,-33.33,0.0,2.55,0.0,0.7
2569,HUVEC,CCK-8,C,72,40.0,40.741,29.57,-33.33,0.0,2.55,0.0,0.7
2570,HUVEC,CCK-8,C,72,60.0,30.864,29.57,-33.33,0.0,2.55,0.0,0.7
2571,HUVEC,CCK-8,C,72,80.0,27.932,29.57,-33.33,0.0,2.55,0.0,0.7
